0.41,1.161,1.79,1.366,0.902,0.8,3.874,3.01,0.544,-0.445,1.098
0.395,1.392,1.968,0.75,0.491,0.536,3.765,3.25,0.661,-0.537,1.215
0.444,1.223,1.812,1.482,0.993,0.853,3.883,3.153,0.894,-0.768,1.349
0.409,0.558,1.419,1.937,1.129,0.9,3.925,3.005,0.8,-0.617,1.232
0.437,1.339,1.919,1.831,1.156,0.961,3.908,3.085,0.965,-0.956,1.759
0.434,1.058,1.693,1.507,1.035,0.938,3.877,3.1,0.687,-0.588,1.301
0.431,1.387,1.905,1.423,0.924,0.836,3.793,3.241,0.621,-0.529,1.192
0.435,0.773,1.528,2.47,1.637,1.29,3.726,3.206,0.735,-0.714,1.539
0.434,1.16,1.774,1.578,0.957,0.789,3.7,3.323,0.672,-0.642,1.476
0.424,1.367,1.895,1.212,0.741,0.703,3.814,3.169,0.624,-0.516,1.216
0.404,1.068,1.697,1.361,0.873,0.76,3.816,3.194,0.715,-0.689,1.446
0.417,1.286,1.9,1.157,0.696,0.643,3.673,3.427,0.745,-0.599,1.199
0.424,1.132,1.735,1.376,0.774,0.662,3.849,3.082,0.822,-0.691,1.294
0.409,1.214,1.785,0.92,0.591,0.574,3.784,3.21,0.599,-0.502,1.17
0.409,1.253,1.854,1.155,0.718,0.646,3.804,3.161,0.731,-0.58,1.236
0.417,1.283,1.822,1.255,0.767,0.681,3.759,3.26,0.585,-0.41,1.075
0.404,0.922,1.576,0.932,0.571,0.571,3.798,3.165,0.692,-0.554,1.214
0.391,0.891,1.587,1.64,0.972,0.811,3.672,3.287,0.636,-0.499,1.201
0.41,1.246,1.808,1.182,0.789,0.764,3.782,3.257,0.728,-0.606,1.313
0.464,1.462,1.943,1.42,0.917,0.841,3.742,3.36,0.808,-0.655,1.324
0.426,1.188,1.766,1.438,0.929,0.823,3.892,3.125,0.713,-0.621,1.305
0.438,1.047,1.69,1.536,0.919,0.77,3.889,3.116,0.578,-0.485,1.11
0.434,0.66,1.43,2.699,1.789,1.423,3.898,3.125,0.706,-0.667,1.344
0.413,0.991,1.632,1.086,0.729,0.721,3.787,3.255,0.665,-0.541,1.245
0.423,1.182,1.809,1.509,0.928,0.797,3.807,3.16,0.747,-0.576,1.173
0.468,0.852,1.582,3.155,2.093,1.653,3.791,3.162,0.619,-0.588,1.308
0.427,1.54,2.07,0.978,0.646,0.601,3.755,3.216,0.552,-0.535,1.218
0.454,1.129,1.748,1.818,1.253,1.1,3.866,3.148,0.65,-0.639,1.468
0.443,1.193,1.789,1.516,0.982,0.809,3.817,3.157,0.72,-0.569,1.169
0.403,1.327,1.892,0.958,0.552,0.539,3.769,3.258,0.662,-0.533,1.12
0.427,1.217,1.814,1.054,0.682,0.656,3.746,3.326,0.622,-0.489,1.212
0.437,1.241,1.818,1.596,0.979,0.813,3.868,3.143,0.887,-0.803,1.537
0.434,1.252,1.844,1.57,0.949,0.83,3.784,3.181,0.655,-0.586,1.296
0.402,0.956,1.602,1.057,0.724,0.709,3.843,3.155,0.841,-0.714,1.411
0.43,0.832,1.537,1.859,1.145,0.943,3.78,3.258,0.715,-0.685,1.324
0.411,1.134,1.731,1.276,0.855,0.793,3.754,3.23,0.591,-0.426,1.162
0.437,1.107,1.701,1.852,1.242,1.014,3.854,3.139,0.76,-0.708,1.479
0.438,1.41,1.967,1.23,0.801,0.74,3.778,3.205,0.629,-0.47,1.116
0.421,0.968,1.645,1.275,0.763,0.64,3.724,3.298,0.597,-0.566,1.262
0.452,1.322,1.875,1.969,1.216,0.98,3.924,3.132,0.962,-0.905,1.63
0.431,0.751,1.459,3.083,2.201,1.817,3.957,2.98,0.923,-0.852,1.709
0.41,1.315,1.862,0.856,0.507,0.506,3.84,3.171,0.832,-0.715,1.434
0.418,1.3,1.864,1.133,0.718,0.658,3.786,3.224,0.781,-0.57,1.2
0.442,1.257,1.86,1.242,0.87,0.852,3.805,3.204,0.626,-0.516,1.233
