0.472,1.748,2.16,1.235,0.817,0.744,4.003,2.995,0.903,-0.794,1.326
0.379,0.91,1.578,0.922,0.61,0.674,3.801,3.2,0.587,-0.478,1.109
0.432,0.997,1.709,3.094,1.984,1.471,3.795,3.174,0.563,-0.4,1.038
0.433,1.192,1.71,1.42,0.876,0.782,3.824,3.201,0.767,-0.66,1.283
0.45,0.757,1.436,2.306,1.677,1.442,3.766,3.28,0.698,-0.657,1.405
0.422,1.052,1.71,1.405,0.935,0.854,4.129,2.854,1.033,-0.855,1.653
0.39,1.211,1.796,1.672,1.078,0.88,3.856,3.118,0.802,-0.662,1.477
0.402,1.457,2.002,0.763,0.492,0.513,3.623,3.47,0.859,-0.805,1.764
0.353,0.926,1.629,1.22,0.768,0.683,3.75,3.216,0.591,-0.337,0.871
0.403,1.403,1.948,1.183,0.71,0.62,3.881,3.085,0.924,-0.722,1.421
0.388,0.915,1.563,1.428,1.042,0.994,3.844,3.053,0.616,-0.489,1.282
0.427,1.074,1.734,1.953,1.243,1.079,3.684,3.224,0.695,-0.606,1.422
0.382,1.331,1.883,1.038,0.648,0.621,3.757,3.084,0.598,-0.47,1.048
0.417,1.003,1.712,1.491,0.938,0.797,3.714,3.215,0.567,-0.463,1.024
0.48,0.997,1.664,4.641,3.103,2.391,3.842,3.078,0.598,-0.572,1.229
0.412,0.913,1.52,1.054,0.75,0.763,3.682,3.317,0.687,-0.658,1.554
0.401,1.191,1.819,1.337,0.911,0.81,3.886,3.027,0.604,-0.352,0.934
0.376,1.198,1.782,0.924,0.56,0.615,3.78,3.191,0.617,-0.497,1.267
0.449,1.591,2.008,1.075,0.707,0.676,3.863,3.169,0.753,-0.806,1.612
0.46,1.333,1.899,2.476,1.54,1.204,3.989,3.01,0.742,-0.633,1.23
0.389,0.864,1.584,1.625,1.062,0.922,3.656,3.415,0.641,-0.599,1.549
0.394,1.489,2.043,1.293,0.838,0.835,3.927,3.057,0.777,-0.73,1.427
0.407,1.03,1.678,1.153,0.76,0.705,3.896,3.151,0.562,-0.374,0.909
0.437,0.752,1.468,1.684,1.132,0.963,3.81,3.216,0.727,-0.715,1.669
0.457,1.187,1.848,1.889,1.274,1.075,3.738,3.326,0.805,-0.769,1.51
0.426,1.253,1.894,1.693,1.024,0.805,3.856,3.076,0.59,-0.41,0.963
0.409,1.32,1.863,1.437,0.972,0.878,3.761,3.2,0.67,-0.543,1.25
0.405,1.272,1.873,1.559,1.14,1.114,3.906,2.89,0.487,-0.338,0.941
0.448,1.591,2.111,1.786,1.199,1.048,3.803,3.208,0.565,-0.52,1.04
0.432,-0.135,0.835,3.693,2.489,1.956,3.697,3.317,0.656,-0.602,1.285
0.362,1.224,1.808,0.916,0.612,0.613,3.837,3.183,0.623,-0.508,1.198
0.392,0.89,1.551,0.953,0.64,0.681,3.877,3.097,0.716,-0.579,1.215
0.417,1.22,1.836,1.39,0.906,0.846,3.829,3.208,0.826,-0.692,1.338
0.396,1.232,1.797,1.506,1.169,1.188,3.766,3.134,0.686,-0.482,0.988
0.405,1.111,1.743,1.091,0.695,0.674,3.872,3.153,0.71,-0.55,1.256
0.428,1.602,2.108,1.095,0.651,0.568,3.819,3.276,0.509,-0.492,1.228
0.429,1.613,2.123,1.113,0.73,0.687,3.668,3.342,0.761,-0.714,1.634
0.395,0.939,1.581,1.247,0.881,0.868,3.717,3.19,0.675,-0.53,1.176
0.418,1.315,1.861,1.647,1.057,0.887,3.979,2.949,0.687,-0.656,1.407
0.418,0.974,1.649,2.298,1.687,1.488,3.794,3.162,0.528,-0.46,1.192
0.41,1.215,1.882,0.899,0.557,0.59,3.687,3.31,0.612,-0.518,1.332
0.437,0.723,1.48,2.105,1.345,1.098,3.889,3.005,1.036,-1.028,1.783
0.37,0.947,1.612,0.805,0.526,0.58,3.87,3.179,0.811,-0.608,1.086
0.418,1.316,1.889,1.102,0.688,0.649,3.739,3.256,0.677,-0.568,1.174
0.412,1.17,1.779,1.048,0.642,0.627,3.981,2.98,0.764,-0.591,1.132
0.41,1.542,2.058,1.21,0.752,0.71,3.843,3.133,0.671,-0.529,1.21
0.439,0.709,1.539,2.836,1.561,1.082,3.853,3.152,0.974,-0.943,1.523
0.423,1.33,1.866,1.275,0.771,0.687,3.868,3.205,0.829,-0.706,1.585
0.374,0.955,1.621,1.394,0.934,0.857,3.817,3.223,0.6,-0.428,1.117
0.395,0.886,1.572,1.623,1.068,0.948,3.919,3.046,0.575,-0.44,1.071
0.403,1.246,1.857,0.873,0.486,0.508,3.876,3.113,0.566,-0.451,1.119
0.389,1.209,1.823,0.97,0.599,0.603,3.721,3.234,0.627,-0.453,1.049
0.437,1.645,2.08,1.419,0.927,0.795,3.864,3.098,0.99,-0.942,1.7
0.408,1.056,1.771,1.089,0.705,0.682,3.874,3.12,0.539,-0.38,1.005
0.423,1.241,1.781,1.023,0.548,0.464,3.769,3.231,0.645,-0.522,1.165
0.404,1.65,2.108,0.919,0.54,0.578,3.664,3.326,0.535,-0.432,0.982
0.403,1.322,1.877,0.986,0.597,0.557,3.762,3.241,0.694,-0.55,1.265
