0.353,0.872,1.614,1.629,0.98,0.814,3.734,3.264,0.699,-0.478,1.043
0.398,1,1.622,1.346,0.867,0.767,3.788,3.263,0.709,-0.583,1.163
0.422,1.088,1.711,1.615,1.077,0.947,3.758,3.365,0.79,-0.668,1.438
0.412,1.173,1.778,1.342,0.852,0.764,3.806,3.155,0.723,-0.634,1.351
0.356,1.242,1.837,0.99,0.633,0.61,3.782,3.227,0.859,-0.567,1.261
0.388,1.261,1.833,1.411,0.899,0.779,3.797,3.157,0.703,-0.609,1.321
0.394,0.569,1.359,1.839,1.191,0.99,3.757,3.276,0.636,-0.489,1.168
0.391,1.206,1.798,1.467,0.943,0.819,3.791,3.145,0.72,-0.59,1.271
0.319,1.176,1.775,0.971,0.643,0.59,3.894,3.102,0.928,-0.659,1.377
0.4,1.179,1.79,1.416,0.92,0.83,3.78,3.194,0.721,-0.612,1.291
0.403,1.242,1.857,1.392,0.886,0.782,3.725,3.227,0.649,-0.528,1.222
0.377,1.222,1.79,1.195,0.776,0.697,3.744,3.174,0.732,-0.671,1.443
0.401,0.823,1.547,2.963,1.909,1.446,3.794,3.191,0.948,-0.851,1.57
0.379,1.164,1.74,1.413,0.933,0.845,3.808,3.187,0.687,-0.576,1.271
0.393,1.07,1.708,1.443,0.963,0.863,3.838,3.098,0.69,-0.611,1.266
0.364,1.229,1.809,0.907,0.539,0.542,3.696,3.233,0.732,-0.573,1.218
0.398,1.199,1.79,1.402,0.906,0.815,3.797,3.177,0.707,-0.608,1.328
0.456,0.511,1.303,4.345,2.995,2.316,3.65,3.217,0.67,-0.569,1.144
0.389,1.206,1.807,1.409,0.907,0.816,3.804,3.18,0.709,-0.591,1.269
0.35,1.251,1.774,0.974,0.665,0.657,3.857,3.09,0.859,-0.606,1.209
0.397,1.212,1.794,1.405,0.927,0.856,3.786,3.269,0.77,-0.665,1.414
0.414,1.186,1.78,1.422,0.903,0.799,3.798,3.199,0.776,-0.639,1.418
