0.034,0.119,0.091,0.256,0.166,0.126,0.074,0.086,0.091,0.1,0.175
0.045,0.142,0.102,0.239,0.178,0.148,0.067,0.064,0.079,0.068,0.088
0.041,0.17,0.114,0.462,0.294,0.203,0.102,0.163,0.201,0.311,0.573
0.053,1.258,0.683,3.807,2.083,1.161,0.111,0.118,0.158,0.198,0.286
0.04,0.598,0.458,1.42,1.087,0.853,0.12,0.162,0.213,0.267,0.373
0.033,0.123,0.081,0.257,0.163,0.115,0.095,0.106,0.158,0.166,0.21
0.047,0.202,0.17,0.558,0.432,0.36,0.096,0.115,0.141,0.171,0.22
0.038,0.539,0.295,1.132,0.625,0.359,0.099,0.13,0.181,0.238,0.366
0.047,0.247,0.189,0.744,0.561,0.443,0.093,0.117,0.131,0.139,0.201
0.033,0.174,0.112,0.349,0.222,0.155,0.073,0.102,0.099,0.122,0.214
0.038,0.267,0.17,0.659,0.412,0.265,0.097,0.169,0.186,0.271,0.513
0.039,0.185,0.124,0.544,0.368,0.263,0.094,0.121,0.18,0.221,0.286
0.033,0.132,0.087,0.291,0.185,0.133,0.079,0.136,0.117,0.154,0.26
0.053,0.365,0.245,1.18,0.783,0.55,0.106,0.126,0.163,0.182,0.246
0.034,0.105,0.082,0.225,0.161,0.125,0.062,0.099,0.066,0.093,0.178
0.049,0.463,0.338,1.942,1.441,1.101,0.135,0.202,0.311,0.407,0.587
0.04,0.241,0.157,0.727,0.465,0.325,0.085,0.111,0.132,0.16,0.221
0.04,0.2,0.135,0.559,0.384,0.285,0.108,0.119,0.15,0.171,0.237
0.03,0.076,0.061,0.098,0.063,0.051,0.067,0.094,0.104,0.097,0.144
0.062,0.243,0.17,0.586,0.378,0.27,0.151,0.184,0.257,0.311,0.399
0.039,0.211,0.136,0.549,0.342,0.221,0.079,0.089,0.117,0.1,0.158
0.032,0.151,0.094,0.36,0.212,0.141,0.061,0.094,0.067,0.086,0.16
0.042,0.743,0.531,2.033,1.412,1.009,0.068,0.077,0.064,0.058,0.088
0.052,0.285,0.16,1.005,0.532,0.297,0.079,0.108,0.116,0.173,0.268
0.037,0.285,0.183,0.691,0.446,0.308,0.094,0.131,0.178,0.214,0.312
0.033,0.105,0.079,0.222,0.165,0.134,0.092,0.121,0.132,0.17,0.25
0.046,0.188,0.14,0.655,0.468,0.349,0.081,0.102,0.095,0.12,0.195
0.039,0.114,0.094,0.167,0.121,0.106,0.082,0.117,0.136,0.176,0.295
0.036,0.183,0.132,0.576,0.401,0.29,0.069,0.088,0.084,0.115,0.163
0.033,0.147,0.093,0.352,0.222,0.148,0.087,0.088,0.096,0.092,0.144
0.036,0.127,0.09,0.316,0.208,0.147,0.134,0.144,0.216,0.286,0.407
0.045,0.25,0.197,0.834,0.648,0.52,0.125,0.173,0.245,0.308,0.454
0.037,0.132,0.094,0.331,0.208,0.143,0.111,0.149,0.199,0.256,0.378
0.039,0.285,0.178,0.813,0.496,0.324,0.092,0.097,0.118,0.138,0.178
0.047,0.775,0.563,2.125,1.53,1.116,0.079,0.112,0.112,0.134,0.231
0.045,0.832,0.618,3.032,2.245,1.69,0.092,0.118,0.12,0.143,0.24
0.054,0.539,0.35,2.104,1.361,0.899,0.077,0.092,0.084,0.103,0.143
0.03,0.114,0.08,0.216,0.139,0.1,0.113,0.204,0.188,0.289,0.484
0.046,0.178,0.132,0.512,0.37,0.288,0.113,0.181,0.248,0.385,0.624
0.045,0.207,0.154,0.709,0.515,0.396,0.137,0.294,0.3,0.554,1.071
0.049,0.609,0.53,1.981,1.702,1.483,0.069,0.112,0.083,0.092,0.166
0.045,1.86,1.235,3.376,2.237,1.506,0.056,0.09,0.063,0.084,0.173
0.033,0.122,0.091,0.275,0.196,0.151,0.085,0.163,0.134,0.188,0.396
0.033,0.406,0.302,0.609,0.467,0.373,0.098,0.116,0.177,0.192,0.295
0.052,0.193,0.133,0.521,0.328,0.23,0.078,0.083,0.108,0.117,0.152
0.038,0.159,0.103,0.409,0.252,0.172,0.084,0.131,0.144,0.214,0.331
0.038,0.153,0.122,0.453,0.332,0.25,0.077,0.13,0.125,0.169,0.31
0.052,0.266,0.193,0.955,0.659,0.468,0.088,0.125,0.145,0.181,0.269
0.031,0.105,0.075,0.202,0.132,0.104,0.116,0.133,0.203,0.233,0.318
0.032,0.085,0.077,0.13,0.096,0.1,0.069,0.081,0.097,0.086,0.124
0.042,0.205,0.123,0.678,0.394,0.238,0.104,0.123,0.17,0.208,0.311
0.037,0.27,0.182,0.622,0.418,0.301,0.141,0.142,0.222,0.286,0.405
0.037,0.112,0.086,0.204,0.136,0.11,0.093,0.106,0.165,0.187,0.273
0.047,0.2,0.163,0.645,0.518,0.442,0.097,0.112,0.128,0.16,0.205
0.04,0.188,0.114,0.534,0.316,0.21,0.082,0.169,0.108,0.202,0.387
0.03,0.222,0.114,0.405,0.212,0.123,0.053,0.065,0.065,0.057,0.091
0.04,0.214,0.136,0.596,0.37,0.252,0.108,0.115,0.143,0.165,0.236
