0.046,0.19,0.15,0.63,0.462,0.364,0.073,0.113,0.101,0.132,0.203
0.042,0.754,0.552,2.303,1.678,1.245,0.063,0.09,0.091,0.102,0.143
0.026,0.109,0.086,0.22,0.169,0.145,0.071,0.089,0.126,0.137,0.19
0.033,0.169,0.113,0.535,0.354,0.245,0.073,0.091,0.119,0.152,0.218
0.033,0.188,0.128,0.545,0.368,0.265,0.068,0.089,0.103,0.146,0.232
0.035,0.146,0.116,0.429,0.331,0.264,0.064,0.074,0.089,0.104,0.163
0.036,0.166,0.104,0.575,0.356,0.23,0.068,0.083,0.085,0.104,0.18
0.046,0.302,0.203,1.154,0.781,0.551,0.109,0.117,0.18,0.217,0.261
0.044,0.266,0.171,0.997,0.591,0.37,0.159,0.172,0.58,0.686,0.819
0.026,0.097,0.063,0.199,0.124,0.084,0.096,0.127,0.216,0.274,0.385
0.036,0.173,0.13,0.532,0.394,0.302,0.102,0.177,0.222,0.339,0.53
0.043,0.146,0.103,0.449,0.289,0.201,0.09,0.099,0.183,0.216,0.285
0.033,0.185,0.123,0.538,0.354,0.245,0.06,0.067,0.077,0.078,0.124
0.044,0.172,0.126,0.594,0.398,0.285,0.079,0.091,0.133,0.171,0.248
0.035,0.138,0.115,0.367,0.3,0.261,0.088,0.107,0.153,0.19,0.302
0.046,0.304,0.214,1.221,0.841,0.601,0.088,0.109,0.176,0.22,0.282
0.037,0.346,0.204,1.009,0.611,0.388,0.062,0.075,0.088,0.103,0.144
0.032,0.156,0.102,0.445,0.291,0.201,0.061,0.081,0.089,0.112,0.178
0.031,0.213,0.128,0.582,0.352,0.228,0.085,0.115,0.207,0.276,0.422
0.037,0.138,0.095,0.45,0.301,0.216,0.073,0.095,0.13,0.178,0.293
0.025,0.123,0.082,0.233,0.153,0.107,0.077,0.105,0.153,0.193,0.272
0.038,0.125,0.091,0.316,0.201,0.142,0.091,0.123,0.202,0.283,0.427
0.046,0.166,0.123,0.513,0.371,0.288,0.078,0.086,0.13,0.148,0.197
0.03,0.09,0.066,0.168,0.111,0.088,0.071,0.089,0.118,0.142,0.197
0.033,0.097,0.083,0.115,0.087,0.082,0.071,0.071,0.095,0.086,0.119
0.035,0.199,0.153,0.626,0.469,0.363,0.163,0.176,0.486,0.574,0.716
0.04,0.148,0.104,0.467,0.311,0.227,0.066,0.089,0.104,0.14,0.219
0.029,0.152,0.099,0.366,0.238,0.17,0.091,0.097,0.167,0.18,0.254
0.041,0.151,0.106,0.424,0.272,0.193,0.06,0.075,0.066,0.085,0.126
0.045,0.171,0.113,0.563,0.355,0.234,0.071,0.083,0.097,0.115,0.161
0.033,0.185,0.115,0.537,0.344,0.243,0.095,0.091,0.159,0.173,0.22
0.047,0.18,0.147,0.481,0.365,0.297,0.085,0.126,0.162,0.231,0.36
0.034,0.225,0.148,0.647,0.426,0.293,0.068,0.096,0.135,0.178,0.281
0.04,0.154,0.105,0.501,0.324,0.221,0.084,0.081,0.108,0.13,0.181
0.028,0.087,0.066,0.159,0.106,0.088,0.077,0.097,0.133,0.154,0.238
0.04,0.711,0.446,1.792,1.131,0.728,0.075,0.099,0.142,0.193,0.286
0.042,0.26,0.185,0.831,0.57,0.424,0.073,0.096,0.115,0.145,0.214
0.034,0.114,0.082,0.18,0.106,0.074,0.076,0.076,0.105,0.12,0.154
0.027,0.144,0.104,0.321,0.229,0.171,0.086,0.108,0.176,0.227,0.33
0.03,0.113,0.081,0.267,0.181,0.134,0.077,0.105,0.157,0.203,0.31
0.027,0.137,0.094,0.292,0.205,0.158,0.08,0.099,0.123,0.165,0.253
0.03,0.123,0.093,0.293,0.212,0.162,0.075,0.097,0.136,0.169,0.257
