0.021,0.118,0.084,0.353,0.247,0.183,0.048,0.059,0.073,0.087,0.13
0.026,0.116,0.082,0.404,0.281,0.205,0.047,0.066,0.088,0.12,0.19
0.021,0.12,0.084,0.333,0.232,0.172,0.05,0.068,0.083,0.115,0.189
0.027,0.14,0.087,0.533,0.326,0.212,0.051,0.056,0.071,0.089,0.12
0.023,0.103,0.072,0.321,0.217,0.155,0.048,0.054,0.079,0.088,0.123
0.025,0.1,0.075,0.346,0.249,0.187,0.045,0.054,0.068,0.08,0.116
0.021,0.097,0.064,0.285,0.18,0.122,0.046,0.059,0.074,0.096,0.151
0.024,0.112,0.082,0.371,0.264,0.199,0.044,0.056,0.061,0.08,0.12
0.018,0.086,0.064,0.184,0.132,0.104,0.04,0.05,0.059,0.064,0.103
0.02,0.079,0.053,0.204,0.128,0.086,0.057,0.066,0.107,0.131,0.171
0.027,0.108,0.075,0.36,0.238,0.169,0.044,0.056,0.07,0.09,0.132
0.02,0.099,0.064,0.274,0.176,0.122,0.047,0.064,0.083,0.109,0.161
0.027,0.129,0.088,0.421,0.269,0.181,0.05,0.073,0.085,0.109,0.164
0.027,0.113,0.082,0.33,0.221,0.158,0.044,0.056,0.07,0.09,0.127
0.027,0.156,0.107,0.571,0.389,0.273,0.049,0.062,0.074,0.101,0.146
0.017,0.107,0.078,0.24,0.175,0.135,0.038,0.058,0.059,0.078,0.139
0.026,0.242,0.153,0.792,0.505,0.33,0.047,0.061,0.084,0.108,0.156
0.026,4.705,2.923,13.781,8.56,5.328,0.053,0.078,0.093,0.132,0.21
0.023,0.15,0.102,0.478,0.324,0.228,0.044,0.058,0.069,0.089,0.139
0.024,0.092,0.068,0.266,0.188,0.14,0.058,0.069,0.106,0.129,0.186
0.03,0.12,0.086,0.421,0.283,0.204,0.048,0.067,0.073,0.106,0.157
0.024,0.14,0.093,0.479,0.313,0.214,0.046,0.057,0.07,0.092,0.136
0.02,0.09,0.057,0.249,0.151,0.099,0.056,0.065,0.082,0.11,0.165
0.027,0.183,0.116,0.628,0.394,0.258,0.046,0.058,0.071,0.093,0.15
0.022,0.212,0.132,0.556,0.352,0.231,0.047,0.053,0.068,0.073,0.105
0.024,0.089,0.064,0.231,0.154,0.112,0.054,0.066,0.088,0.118,0.183
0.024,0.102,0.07,0.343,0.23,0.162,0.045,0.053,0.065,0.076,0.11
0.024,0.094,0.07,0.265,0.178,0.132,0.049,0.069,0.083,0.114,0.186
0.026,0.142,0.093,0.53,0.344,0.231,0.048,0.072,0.092,0.132,0.206
0.027,0.109,0.078,0.341,0.227,0.159,0.049,0.064,0.089,0.111,0.158
0.025,0.114,0.08,0.388,0.258,0.183,0.046,0.061,0.075,0.095,0.15
0.023,0.107,0.076,0.347,0.242,0.178,0.042,0.057,0.059,0.077,0.126
0.022,0.102,0.071,0.33,0.224,0.163,0.047,0.06,0.074,0.094,0.137
0.03,0.172,0.12,0.68,0.467,0.331,0.055,0.077,0.092,0.135,0.195
0.021,0.089,0.058,0.254,0.157,0.109,0.057,0.059,0.095,0.102,0.137
0.024,0.112,0.077,0.374,0.248,0.174,0.04,0.05,0.055,0.069,0.106
0.023,0.275,0.185,0.755,0.496,0.336,0.052,0.067,0.082,0.109,0.16
0.022,0.176,0.118,0.48,0.331,0.237,0.045,0.058,0.071,0.088,0.134
0.023,0.085,0.063,0.227,0.156,0.115,0.053,0.063,0.086,0.105,0.163
0.024,0.099,0.068,0.307,0.201,0.14,0.048,0.061,0.084,0.101,0.146
0.024,0.131,0.092,0.42,0.29,0.209,0.057,0.067,0.101,0.12,0.166
0.019,0.068,0.053,0.149,0.101,0.076,0.056,0.06,0.088,0.103,0.141
0.021,0.074,0.055,0.176,0.122,0.095,0.06,0.058,0.094,0.096,0.129
0.029,0.151,0.103,0.574,0.385,0.27,0.052,0.066,0.087,0.116,0.177
0.024,0.102,0.073,0.313,0.211,0.152,0.054,0.06,0.074,0.09,0.13
0.025,0.236,0.149,0.741,0.468,0.304,0.052,0.075,0.099,0.136,0.205
0.027,0.138,0.091,0.55,0.358,0.242,0.047,0.061,0.073,0.102,0.157
0.022,0.104,0.065,0.311,0.185,0.118,0.047,0.055,0.071,0.093,0.132
0.027,0.15,0.106,0.544,0.38,0.276,0.061,0.067,0.115,0.129,0.166
0.022,0.101,0.068,0.31,0.203,0.141,0.049,0.063,0.079,0.1,0.161
0.024,0.114,0.079,0.383,0.257,0.181,0.044,0.063,0.073,0.099,0.164
0.017,0.096,0.064,0.197,0.128,0.091,0.04,0.058,0.061,0.075,0.132
0.022,0.105,0.075,0.295,0.203,0.148,0.049,0.054,0.07,0.074,0.112
0.027,0.131,0.102,0.451,0.34,0.269,0.054,0.079,0.09,0.128,0.211
0.023,0.115,0.079,0.35,0.238,0.171,0.049,0.061,0.074,0.094,0.143
0.02,0.086,0.059,0.229,0.149,0.106,0.041,0.05,0.053,0.063,0.093
0.024,0.145,0.099,0.483,0.327,0.23,0.053,0.065,0.1,0.123,0.174
0.026,0.107,0.074,0.367,0.247,0.174,0.045,0.055,0.07,0.084,0.119
0.023,0.116,0.084,0.395,0.281,0.208,0.069,0.086,0.133,0.176,0.265
0.027,0.156,0.104,0.568,0.374,0.259,0.053,0.067,0.096,0.124,0.167
0.027,0.187,0.116,0.651,0.409,0.267,0.042,0.053,0.063,0.076,0.114
0.022,0.111,0.078,0.35,0.244,0.179,0.056,0.065,0.098,0.12,0.17
0.024,0.103,0.075,0.323,0.224,0.163,0.055,0.067,0.099,0.12,0.177
0.018,0.061,0.044,0.125,0.079,0.056,0.036,0.049,0.048,0.055,0.096
0.021,0.12,0.079,0.336,0.224,0.155,0.047,0.061,0.071,0.085,0.131
0.025,0.147,0.089,0.493,0.295,0.184,0.045,0.048,0.061,0.066,0.089
0.023,0.088,0.061,0.245,0.161,0.114,0.045,0.056,0.068,0.084,0.124
0.023,0.103,0.072,0.316,0.215,0.157,0.052,0.058,0.088,0.099,0.138
0.024,0.089,0.067,0.23,0.159,0.12,0.051,0.062,0.081,0.097,0.142
0.025,0.091,0.067,0.242,0.165,0.125,0.053,0.058,0.083,0.094,0.13
0.017,0.073,0.053,0.158,0.106,0.079,0.045,0.057,0.072,0.086,0.138
0.018,0.062,0.047,0.12,0.082,0.063,0.047,0.055,0.07,0.077,0.115
0.02,0.136,0.09,0.36,0.239,0.167,0.044,0.055,0.066,0.08,0.127
0.02,0.08,0.06,0.214,0.155,0.12,0.052,0.073,0.081,0.12,0.204
0.025,0.104,0.071,0.35,0.225,0.153,0.049,0.059,0.084,0.102,0.148
0.023,0.104,0.07,0.331,0.213,0.146,0.047,0.057,0.072,0.087,0.13
0.026,0.155,0.12,0.556,0.422,0.329,0.043,0.054,0.057,0.065,0.101
0.026,0.123,0.081,0.464,0.29,0.193,0.045,0.061,0.069,0.093,0.147
0.029,0.324,0.227,1.15,0.812,0.588,0.061,0.071,0.104,0.133,0.175
0.026,0.178,0.123,0.588,0.403,0.286,0.046,0.061,0.074,0.1,0.144
0.021,0.136,0.094,0.39,0.271,0.197,0.055,0.062,0.087,0.11,0.152
0.023,0.084,0.06,0.226,0.154,0.115,0.05,0.07,0.091,0.125,0.2
0.024,0.127,0.085,0.406,0.269,0.188,0.055,0.066,0.098,0.127,0.187
0.022,0.105,0.074,0.335,0.228,0.167,0.046,0.059,0.067,0.09,0.145
0.029,0.254,0.162,0.915,0.596,0.401,0.047,0.065,0.076,0.112,0.179
0.023,0.238,0.156,0.678,0.458,0.317,0.038,0.052,0.051,0.069,0.107
0.022,0.113,0.075,0.379,0.247,0.17,0.039,0.057,0.049,0.071,0.129
