"","1","2","3","4","1","2","3","4"
"1","3543","519","209","0","3666","472","133","0"
"2","0","3303","158","0","22","3391","48","0"
"3","0","1","754","151","0","1","772","133"
"4","0","0","22","1042","0","0","24","1040"
"ARI","0.733","","","","0.779","","",""
"CCR","0.891","","","","0.914","","",""
